1;2;2007-02-16
1;2;2008-02-15
1;3;2007-10-26
1;4;2007-06-11
1;6;2007-06-14
1;7;2007-08-14
1;16;2008-03-05
1;24;2008-09-11
1;25;2007-02-04
1;25;2007-10-31
1;27;2008-01-15
1;27;2008-06-25
1;67;2007-05-08
1;67;2007-08-07
1;100;2008-09-12
1;107;2007-06-02
1;143;2007-01-03
1;162;2007-06-28
1;368;2007-07-20
1;491;2007-05-02
1;495;2007-01-10
1;495;2008-06-10
1;499;2008-03-16
1;774;2007-01-01
1;774;2007-06-16
1;775;2007-02-13
1;777;2008-02-14
1;780;2007-10-29
1;783;2007-07-02
1;788;2007-09-12
1;791;2007-05-09
1;871;2007-07-05
1;871;2007-11-01
1;871;2008-01-09
1;882;2007-11-02
1;896;2007-10-24
1;897;2007-08-15
1;916;2007-01-29
1;920;2008-06-23
1;921;2008-06-12
1;923;2007-05-31
1;987;2008-04-11
1;1006;2008-04-13
1;1033;2007-07-22
1;1056;2007-04-06
1;1203;2007-08-08
1;1206;2007-02-17
1;1206;2007-04-08
1;1213;2007-10-25
1;1230;2007-01-15
1;1233;2007-02-03
1;1396;2007-04-30
1;1794;2008-06-04
1;2898;2007-01-08
1;2898;2007-06-26
1;2910;2007-06-15
1;2917;2008-09-09
1;2937;2008-06-27
1;3306;2008-01-17
1;4325;2007-09-11
1;4698;2007-05-29
1;4905;2008-01-11
1;7358;2007-02-02
1;7358;2008-02-12
1;21935;2007-01-31
1;23884;2007-05-04
1;93201;2007-02-15
1;100254;2007-10-15
2;4;2007-06-28
2;4;2008-03-17
2;5;2007-10-25
2;6;2007-03-02
2;8;2007-01-30
2;9;2007-05-30
2;11;2008-03-31
2;18;2008-03-29
2;25;2007-02-25
2;27;2008-08-12
2;29;2007-04-30
2;35;2007-09-23
2;67;2007-04-16
2;162;2007-08-29
2;495;2007-01-15
2;495;2007-05-29
2;497;2007-03-23
2;530;2008-01-14
2;774;2007-10-26
2;777;2008-01-18
2;778;2007-05-09
2;780;2007-06-01
2;785;2007-12-31
2;785;2008-08-11
2;787;2008-05-18
2;790;2007-05-04
2;791;2008-06-28
2;796;2007-07-18
2;802;2008-01-02
2;871;2008-01-20
2;875;2007-02-23
2;890;2007-07-17
2;891;2008-06-24
2;896;2007-07-15
2;906;2008-05-29
2;913;2007-05-02
2;913;2008-05-28
2;921;2007-02-15
2;923;2007-06-26
2;1195;2007-03-01
2;1195;2008-01-06
2;1196;2008-06-10
2;1197;2007-02-20
2;1197;2007-02-28
2;1197;2007-05-05
2;1201;2008-01-16
2;1201;2008-07-22
2;1203;2007-02-22
2;1206;2007-02-27
2;1206;2007-07-02
2;1221;2007-01-17
2;1235;2007-02-02
2;1391;2007-11-01
2;2337;2007-02-01
2;2738;2008-10-21
2;2884;2007-06-11
2;2889;2008-01-05
2;2889;2008-02-13
2;2898;2007-10-10
2;2917;2008-06-26
2;2937;2007-06-13
2;3958;2008-02-08
2;4681;2007-04-06
2;4696;2007-08-08
2;4698;2007-08-07
2;4699;2007-07-20
2;4889;2007-02-12
2;4889;2007-02-24
2;4898;2007-01-03
2;4905;2007-10-30
2;4913;2007-05-08
2;4913;2008-02-14
2;4922;2008-01-04
2;6611;2008-07-10
2;6611;2008-10-01
2;7144;2007-08-13
2;7358;2007-10-29
2;29912;2007-01-01
2;86124;2007-10-23
3;4;2007-06-01
3;4;2007-08-24
3;4;2008-02-15
3;5;2007-08-08
3;9;2008-08-11
3;10;2008-05-30
3;11;2007-08-23
3;13;2008-03-15
3;20;2008-01-16
3;25;2007-06-29
3;29;2008-01-18
3;30;2008-06-26
3;67;2008-03-30
3;72;2008-05-28
3;72;2008-06-24
3;76;2007-05-02
3;76;2007-10-10
3;77;2007-06-19
3;78;2007-03-11
3;78;2007-10-16
3;111;2008-10-02
3;113;2008-10-04
3;127;2007-05-12
3;136;2007-03-09
3;162;2008-09-30
3;484;2008-03-04
3;495;2007-01-01
3;495;2007-05-13
3;513;2008-01-02
3;775;2008-10-03
3;778;2007-05-14
3;781;2007-10-13
3;790;2007-03-23
3;791;2007-06-25
3;791;2007-07-14
3;795;2007-03-21
3;796;2008-01-14
3;802;2007-04-26
3;871;2007-01-10
3;871;2007-04-06
3;871;2008-08-12
3;873;2007-06-13
3;873;2008-02-14
3;875;2007-06-28
3;880;2007-06-11
3;880;2007-07-12
3;883;2007-04-27
3;891;2007-07-10
3;896;2007-04-29
3;905;2007-08-22
3;916;2007-10-12
3;923;2007-04-24
3;934;2007-10-25
3;1201;2007-07-15
3;1214;2007-05-04
3;1235;2007-04-28
3;1235;2008-02-11
3;1775;2008-04-30
3;2311;2008-10-08
3;2686;2008-10-09
3;2857;2007-08-07
3;2857;2008-10-22
3;2889;2008-03-28
3;2889;2008-05-02
3;2889;2008-06-10
3;2910;2007-05-29
3;2933;2008-04-28
3;4681;2007-10-17
3;4698;2007-10-09
3;4698;2008-08-26
3;4703;2008-08-13
3;4715;2007-02-27
3;4898;2007-07-13
3;4905;2007-03-25
3;4905;2007-05-01
3;4913;2008-01-01
3;7358;2007-01-09
3;7371;2007-06-20
3;11262;2008-05-25
3;21935;2007-10-23
4;1;2007-02-18
4;6;2007-02-17
4;6;2008-08-11
4;7;2007-05-07
4;8;2008-07-14
4;15;2008-07-19
4;16;2007-05-29
4;18;2008-01-14
